"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1799036471409832371","Fri Jun 07 11:11:33 +0000 2024","317"," Penting untuk dipahami bahwa Pi tidak boleh disalah artikan sebagai komoditas atau aset investasi karena nilainya tdk ditentukan oleh penawaran&amp;permintaan.Berbeda dengan mata uang kripto tradisional yg berfungsi sbg aset investasi/komoditas. https://t.co/SZWZiqkGjn","1799036471409832371","https://pbs.twimg.com/ext_tw_video_thumb/1799036451314884608/pu/img/gZ679UahileDIkSd.jpg","","in","Indonesia","1","16","48","https://x.com/MyYunieyusuf519/status/1799036471409832371","1547505451587506176","MyYunieyusuf519"
"1794835383316017230","Sun May 26 20:57:56 +0000 2024","163","gada yang salah sama menabung sebenernya kalo tujuannya supaya bisa sabar dan konsisten. ga semua orang punya akses untuk mempelajari investasi yang benar saham kripto dan sebagainya. aku salut sama orang yang paham investasi tapi orang yang bisa menabung secara konsisten","1794835383316017230","","","in","DKI Jakarta, Indonesia","2","2","51","https://x.com/jellypastaa/status/1794835383316017230","933490676385189888","jellypastaa"
"1791017995332128907","Thu May 16 08:09:00 +0000 2024","11","Pasar kripto lagi semangat nih. Nah koin-koin meme lagi pada naik daun bisa jadi pilihan investasi yang oke banget! Buat kamu yang mau coba-coba investasi kripto nih ada beberapa koin meme yang menarik buat dilirik https://t.co/28BJRQoLRV Tapi jangan lupa untuk selalu https://t.co/h63WolhjgL","1791017995332128907","https://pbs.twimg.com/media/GNr5VoCbAAACYTK.jpg","","in","Jakarta ","16","9","3","https://x.com/bittimexchange/status/1791017995332128907","1574262181155475456","bittimexchange"
"1785526878671139199","Wed May 01 04:29:16 +0000 2024","18","Baru mulai investasi kripto? Harus mulai darimana nih biar gak ketinggalan jauh??? Simak full penjelasannya di thread ini https://t.co/QlO8a1tfuC","1785526878671139199","https://pbs.twimg.com/media/GMd3G5WaQAA84U0.jpg","","in","Indonesia","0","4","0","https://x.com/coinvestasi/status/1785526878671139199","1147028900","coinvestasi"
"1792886478420529216","Tue May 21 11:53:41 +0000 2024","0"," Apa Sih Manfaat Staking MPRO? Penasaran dengan manfaat staking MPRO? Yuk cari tahu bagaimana kamu bisa mendapatkan passive income membantu mengamankan jaringan dan memaksimalkan investasi kripto kamu! https://t.co/Yo6JEP8T3M","1792886478420529216","https://pbs.twimg.com/media/GOGct0ObwAAOze2.jpg","","in","","0","1","0","https://x.com/MaxPropert93397/status/1792886478420529216","1735941271360073728","MaxPropert93397"
"1790627600764948702","Wed May 15 06:17:42 +0000 2024","10","Dalam rangka Bulan Literasi Kripto kami akan mengadakan community meetup nih! Berkolaborasi dengan @nanovest_io dan @coinfolks. Teru Jakarta Selatan ️ 21 May 2024 ⏰ 18.00 - 20.30 Yuk ngobrol dan networking disini supaya tau cara biar ga fomo dalam investasi kripto https://t.co/op6A0D4uax","1790627600764948702","https://pbs.twimg.com/media/GNmWTzHacAAidpV.jpg","","in","Indonesia","1","0","3","https://x.com/AlgoIndonesia/status/1790627600764948702","1537355718080471041","AlgoIndonesia"
"1798303510142087497","Wed Jun 05 10:39:02 +0000 2024","4","Ajaib Kripto bagi-bagi hadiah total jutaan rupiah! Cuma dengan pamer portofolio koin-koin Earn di Ajaib Kripto https://t.co/NMqGEZlw1A","1798303510142087497","https://pbs.twimg.com/media/GPTbb7KbUAATBN2.jpg","","in","","0","2","0","https://x.com/ajaib_investasi/status/1798303510142087497","1166977780757581824","ajaib_investasi"
"1797846708556308518","Tue Jun 04 04:23:52 +0000 2024","1","Sebab-sebab Investasi Kripto Indonesia Diproyeksikan Meningkat pada 2024 https://t.co/6r2ZQSU1El https://t.co/dbr7YRiVbe","1797846708556308518","https://pbs.twimg.com/media/GPM8DE8a4AA-bSh.jpg","","in","Indonesia","0","0","0","https://x.com/TabloidCrypto/status/1797846708556308518","1378383362189000704","TabloidCrypto"
"1789136355655925915","Sat May 11 03:32:02 +0000 2024","1","Proof of Stake (PoS): Alternatif Cerdas dalam Investasi Aset Kripto https://t.co/ZsAq2YNddM https://t.co/ITTgAhJ36y","1789136355655925915","https://pbs.twimg.com/media/GNRKCJhaAAAX8NM.png","","in","Indonesia","0","0","0","https://x.com/beritasolana/status/1789136355655925915","1702607362715164672","beritasolana"
"1797936626871697466","Tue Jun 04 10:21:10 +0000 2024","1","Earn dengan RETURN TERTINGGI hingga 16% cuma di Ajaib Kripto https://t.co/OyVaH93a1j","1797936626871697466","https://pbs.twimg.com/media/GPONwvgbEAAKA9H.jpg","","in","","0","1","0","https://x.com/ajaib_investasi/status/1797936626871697466","1166977780757581824","ajaib_investasi"
"1776645267921797584","Sat Apr 06 16:16:55 +0000 2024","2","Dapatkan komisi setiap kamu jual beli aset kripto di Pintu langkah mudah investasi kripto! 1) Unduh aplikasi Pintu (https://t.co/rZt7lp9xP7) daftar dan masukkan kode referral: @saptapermana77. 2) Jual beli aset crypto mulai dari Rp11.000. 3) Nikmati komisi 0.004% https://t.co/SWwzsIy22J","1776645267921797584","https://pbs.twimg.com/media/GKfpc4JaIAAhEeD.jpg","","in","Indonesia","0","1","0","https://x.com/saptapermana/status/1776645267921797584","1419008828","saptapermana"
"1793974039922577846","Fri May 24 11:55:16 +0000 2024","1","Menuju rangkaian penutupan BLK 2024! Dapatkan kesempatan menarik bertemu para pegiat kripto dari C-level hingga crypto figure untuk membahas peluang investasi aset kripto bagi para gen Z! Terbuka untuk umum dan daftar sekarang melalui: https://t.co/hWsgJMdd6Q #BLK2024 https://t.co/lNdgHQ8yfU","1793974039922577846","https://pbs.twimg.com/media/GOV5iijbMAAWyYG.jpg","","in","Indonesia","0","1","0","https://x.com/beincrypto_id/status/1793974039922577846","1620996204669845506","beincrypto_id"
"1797455392454451536","Mon Jun 03 02:28:55 +0000 2024","2","Top Gainers dan Top Losers Aset Kripto di Ajaib Kripto selama 24 jam https://t.co/10FD857hDE","1797455392454451536","https://pbs.twimg.com/media/GPHYIzpaoAED4YD.jpg","","in","","0","1","0","https://x.com/ajaib_investasi/status/1797455392454451536","1166977780757581824","ajaib_investasi"
"1798186220222357509","Wed Jun 05 02:52:58 +0000 2024","0","Top Gainers dan Top Losers Aset Kripto di Ajaib Kripto selama 24 jam https://t.co/LjDk0IOwOr","1798186220222357509","https://pbs.twimg.com/media/GPRw1UFa8AA4PoL.jpg","","in","","0","1","0","https://x.com/ajaib_investasi/status/1798186220222357509","1166977780757581824","ajaib_investasi"
"1797813348471603229","Tue Jun 04 02:11:18 +0000 2024","0","Top Gainers dan Top Losers Aset Kripto di Ajaib Kripto selama 24 jam https://t.co/h4cG8wR9Qa","1797813348471603229","https://pbs.twimg.com/media/GPMdtWua4AAKA8R.jpg","","in","","0","1","0","https://x.com/ajaib_investasi/status/1797813348471603229","1166977780757581824","ajaib_investasi"
"1797611321313436117","Mon Jun 03 12:48:31 +0000 2024","2"," Harga Kripto Hari Ini 3 Juni 2024: Mayoritas Koin Parkir di Zona Merah Apakah ini kesempatan untuk beli murah atau waktunya panik? Gimana strategi kalian buat untung di kripto? Komentar di bawah ya! https://t.co/dzlOjj3TC3 #Crypto #Kripto #Bitcoin #Ethereum #Investasi https://t.co/sMC8QJSpp8","1797611321313436117","https://pbs.twimg.com/media/GPJl9rxbAAAi7PK.png","","in","Indonesia","0","0","0","https://x.com/CryptoWatchID/status/1797611321313436117","1788629814116810752","CryptoWatchID"
"1796021466305020354","Thu May 30 03:31:00 +0000 2024","1","Top Gainers dan Top Losers Aset Kripto di Ajaib Kripto selama 24 jam https://t.co/edPm0EWwLJ","1796021466305020354","https://pbs.twimg.com/media/GOy_5VtbcAEtkgq.jpg","","in","","0","1","0","https://x.com/ajaib_investasi/status/1796021466305020354","1166977780757581824","ajaib_investasi"
